"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Crkl","Group",0.352507839491007,0.572286082686775,"DMSO","DESeq2","DMSO vs T4400",1.03246273313437,0.0460897083347461
"Crlf1","Group",1.42585539478851e-05,0.00129325992495467,"T4400","DESeq2","DMSO vs T4400",0.583501423686488,-0.777191918915441
"Crlf2","Group",0.010472911426745,0.0620616973436741,"DMSO","DESeq2","DMSO vs T4400",1.24992913095222,0.321846298629584
"Crlf3","Group",0.0867764290798731,0.24238845627646,"T4400","DESeq2","DMSO vs T4400",0.876197552600312,-0.190671909964372
"Crls1","Group",0.000586492455348804,0.0100865369132451,"DMSO","DESeq2","DMSO vs T4400",1.15225512978763,0.204460190501816
"Crmp1","Group",0.348480568409227,0.568777431085124,"T4400","DESeq2","DMSO vs T4400",0.637496825608602,-0.649509936743521
"Crnde","Group",2.57974894358659e-06,0.000503227739132507,"T4400","DESeq2","DMSO vs T4400",0.589627611161294,-0.762124010154566
"Crnkl1","Group",0.171367818702015,0.371464424079165,"DMSO","DESeq2","DMSO vs T4400",1.08537067386796,0.118187833475243
"Crocc","Group",0.450662371675166,0.656649153039431,"T4400","DESeq2","DMSO vs T4400",0.925712014149492,-0.11136464911051
"Crot","Group",0.535575080069829,0.72224434795009,"DMSO","DESeq2","DMSO vs T4400",1.0307102333086,0.043638800478753
"Crtap","Group",0.0516005132028624,0.175787394260469,"T4400","DESeq2","DMSO vs T4400",0.907213585314465,-0.140485850419546
"Crtc1","Group",0.000398559581059091,0.00814273806927038,"T4400","DESeq2","DMSO vs T4400",0.837809763922,-0.255305397267115
"Crtc2","Group",0.179026304606306,0.382151787976884,"DMSO","DESeq2","DMSO vs T4400",1.05877175326194,0.0823916111166015
"Crtc3","Group",0.41937257832391,0.630675416129737,"T4400","DESeq2","DMSO vs T4400",0.966565882600987,-0.0490600228105755
"Cry1","Group",0.00538239346738091,0.0404440650123818,"DMSO","DESeq2","DMSO vs T4400",1.24174593441646,0.312370023274598
"Cry2","Group",0.0373161422010466,0.142309015785459,"DMSO","DESeq2","DMSO vs T4400",1.1858140132586,0.245877750869897
"Cryab","Group",0.115716616554569,0.290618098719059,"T4400","DESeq2","DMSO vs T4400",0.887517050631417,-0.172153258622009
"Cryba4","Group",0.00636604980081829,0.0448558049461672,"T4400","DESeq2","DMSO vs T4400",0.548756626759864,-0.865761638215006
"Crybb3","Group",0.592978760800826,0.764985463852648,"DMSO","DESeq2","DMSO vs T4400",1.17505317900665,0.232726049856717
"Crybg3","Group",0.465018465611924,0.667997876557429,"DMSO","DESeq2","DMSO vs T4400",1.05488965788264,0.0770921000216476
"Cryl1","Group",0.000306823468468019,0.00689142932331955,"T4400","DESeq2","DMSO vs T4400",0.677401863725284,-0.56191613878525
"Crym","Group",0.0808727899800691,0.231390100324731,"T4400","DESeq2","DMSO vs T4400",0.582583931533359,-0.779462184375166
"Cryz","Group",0.350659004410173,0.570607270346345,"T4400","DESeq2","DMSO vs T4400",0.960781687882286,-0.057719440776766
"Cryzl1","Group",0.965165114453543,0.982955133279488,"T4400","DESeq2","DMSO vs T4400",0.99725372641076,-0.00396748568569824
"Cs","Group",0.00519461230044663,0.0395938370063495,"T4400","DESeq2","DMSO vs T4400",0.870268269416052,-0.200467899331935
"Csad","Group",0.547341341909962,0.730814881274998,"T4400","DESeq2","DMSO vs T4400",0.97153872731368,-0.0416565894629459
"Csdc2","Group",0.00100614301646505,0.0142278813847689,"T4400","DESeq2","DMSO vs T4400",0.665908307577143,-0.586604556195598
"Csde1","Group",0.32167405501458,0.542820902692681,"DMSO","DESeq2","DMSO vs T4400",1.0694333093508,0.0968465177822373
"Cse1l","Group",0.242551087183519,0.460769407883313,"T4400","DESeq2","DMSO vs T4400",0.931191428481781,-0.102850316434702
"Csf1","Group",0.00303020365970833,0.0282205384906565,"T4400","DESeq2","DMSO vs T4400",0.78814793982546,-0.343461637769053
"Csf1r","Group",0.279411387678684,0.500984407018945,"T4400","DESeq2","DMSO vs T4400",0.834022616247747,-0.261841589027889
"Csf2","Group",0.0552458251177145,0.18299617345342,"DMSO","DESeq2","DMSO vs T4400",3.62841821703289,1.85934075268726
"Csf2ra","Group",0.923946071371084,0.963882201928516,"T4400","DESeq2","DMSO vs T4400",0.970863684810857,-0.0426593482160649
"Csf2rb","Group",0.000709098919394583,0.0112821995666803,"DMSO","DESeq2","DMSO vs T4400",4.44533117544233,2.15229090327787
"Csf2rb2","Group",0.128901350601336,0.310532098217396,"DMSO","DESeq2","DMSO vs T4400",1.79422499355188,0.843360813740257
"Csgalnact1","Group",1.41127367452011e-06,0.00035886673437797,"DMSO","DESeq2","DMSO vs T4400",1.58768009290808,0.66692024820543
"Csgalnact2","Group",0.0509042152459359,0.174249044495704,"DMSO","DESeq2","DMSO vs T4400",1.19316354026599,0.25479179874193
"Csk","Group",0.125754561324165,0.306686924688493,"T4400","DESeq2","DMSO vs T4400",0.948754201052556,-0.0758937261386836
"Csmd1","Group",0.206422641008113,0.417952056592055,"DMSO","DESeq2","DMSO vs T4400",1.44931458047269,0.535370772555228
"Csnk1a1","Group",0.019836277756055,0.0942984846401638,"T4400","DESeq2","DMSO vs T4400",0.878530707939471,-0.186835380175945
"Csnk1d","Group",0.47008184626748,0.672152373817543,"DMSO","DESeq2","DMSO vs T4400",1.02308266622475,0.0329227211674131
"Csnk1e","Group",0.0653498042320994,0.20333912680258,"DMSO","DESeq2","DMSO vs T4400",1.0708175473633,0.0987126855618081
"Csnk1g1","Group",0.522955438706157,0.714124035977721,"T4400","DESeq2","DMSO vs T4400",0.968720935834663,-0.0458469735937275
"Csnk1g2","Group",0.64068149194152,0.798368427183316,"T4400","DESeq2","DMSO vs T4400",0.980758455505112,-0.0280302264889337
"Csnk1g3","Group",0.453356817127455,0.658762788336038,"DMSO","DESeq2","DMSO vs T4400",1.05381308980692,0.0756190051905477
"Csnk2a1","Group",0.527819319290842,0.717243937531947,"T4400","DESeq2","DMSO vs T4400",0.965665962896402,-0.0504038675380108
"Csnk2a2","Group",0.601000101333117,0.770560952355242,"T4400","DESeq2","DMSO vs T4400",0.968670241321774,-0.0459224738057905
"Csnk2b","Group",0.000998704279162767,0.0141931626100577,"T4400","DESeq2","DMSO vs T4400",0.890375588679927,-0.16751405586112
"Cspg4","Group",0.358628250903689,0.577961327848408,"DMSO","DESeq2","DMSO vs T4400",1.06267338317244,0.0876982470253058
"Cspg5","Group",0.537975230523213,0.723980885723905,"DMSO","DESeq2","DMSO vs T4400",1.37246522000186,0.4567695899834
"Cspp1","Group",0.0577255231801418,0.188189434543319,"DMSO","DESeq2","DMSO vs T4400",1.25130446593914,0.32343286708735
"Csrnp1","Group",0.996301621565158,0.997773056550239,"T4400","DESeq2","DMSO vs T4400",0.999622946260138,-0.000544076140065699
"Csrnp2","Group",0.827667064042263,0.91357671951402,"DMSO","DESeq2","DMSO vs T4400",1.01079501365043,0.0154904524587028
